2024-12-05 12:08:30,769 - INFO - hi
2024-12-05 12:08:35,729 - INFO - ====== 45 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/australia-edge-out-us-to-reach-davis-cup-semi-finals/articleshow/115536846.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,742 - INFO - ====== 46 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/tennis/top-stories/davis-cup-finals-germany-power-past-canada-to-reach-semifinals/articleshow/115511518.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,754 - INFO - ====== 47 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/pv-sindhu-to-get-married-everything-you-need-to-know-about-her-fianc-venkata-datta-sai/articleshow/115917049.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,759 - INFO - ====== 48 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/pv-sindhu-set-to-begin-a-new-chapter-with-december-22-wedding/articleshow/115907744.cms', 'Title': 'PV Sindhu set to begin a new chapter with wedding on December 22'}
2024-12-05 12:08:35,776 - INFO - ====== 49 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/definitely-going-to-play-for-the-next-couple-of-years-pv-sindhu-confirms-her-future-plans/articleshow/115869801.cms', 'Title': "'Definitely going to play for the next couple of years': PV Sindhu confirms her future plans"}
2024-12-05 12:08:35,787 - INFO - ====== 50 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/pv-sindhu-ends-title-drought-treesa-gayatri-pair-claims-maiden-super-300-crown-at-syed-modi-international/articleshow/115866694.cms', 'Title': 'PV Sindhu ends title drought; Treesa-Gayatri pair claims maiden Super 300 crown at Syed Modi International'}
2024-12-05 12:08:35,799 - INFO - ====== 51 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/sub-junior-national-badminton-championships-2024-satvik-agrawal-bags-silver-medal-in-u-13-boys-singles/articleshow/115860005.cms', 'Title': 'Sub-Junior National Badminton Championships 2024: Satvik Agrawal bags silver medal in U-13 boys singles'}
2024-12-05 12:08:35,809 - INFO - ====== 52 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/pv-sindhu-cruises-into-syed-modi-international-final/articleshow/115836780.cms', 'Title': 'PV Sindhu cruises into Syed Modi International final'}
2024-12-05 12:08:35,827 - INFO - ====== 53 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/happy-to-be-back-in-lucknow-for-syed-modi-tournament-pv-sindhu/articleshow/115753455.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,840 - INFO - ====== 54 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/syed-modi-india-international-malvika-bansod-wins-singles-opening-round-ritika-thaker-loses-in-doubles/articleshow/115753275.cms', 'Title': 'No Title'}
